candidate_group,review_id,source_split,source_star,review_length,aspect_summary,positive_label_count,neutral_label_count,negative_label_count,privacy_risk,review_text
positive,37240,train,4.0,258,price:positive; food:positive,2,1,0,False,迈姨潮州餐厅， 分量不大，但胜在食材新鲜，味道咸淡合宜，价格实惠。但有些菜品令人失落：本应代表潮汕特色的炒粿条切的太厚、碎且油腻；沙茶芥蓝炒牛肉的酱料味道迷人，但是牛肉太过细碎，大打折扣；猪肉类卤水拼盘和鹅肉类卤水一对比有些差距。不过这些，可能还要看食客的运气了。\\n牛肉丸有咬劲，牛肉嫩筋弹牙，满口肉香。唯一美中不足的是汤味稍寡，但想到以后可以吃到不敷衍的牛肉丸，还是心满意足。\\n卤水鹅肝， 薄切一片，鹅肝绵软肥滑。其味风味醇厚，鲜而不腥，轻轻咀嚼就化在口中，垫在盘底的豆腐吸足汁水，唇齿间只留下老卤的余香。
positive,28882,train,4.0,272,service:neutral; price:positive; food:positive,3,1,0,False,每次去三林都会看到很多人排队，五介坊里面最火的一家店了。正好中午经过，就跟童鞋一起去了，周六十一点半去的，排队啦，乖乖排了20多分钟，点了干丝，老妈一桶鲜，酱油虾，牛腩萝卜，两瓶，一桶鲜真的蛮鲜的，量好大，两个人吃太奢侈，酱油虾炸过头了，一般吧，还没自己做的好吃，可是15元一份的牛腩萝卜便宜好次到没朋友，牛腩很酥，萝卜非常入味，很香，味道确实赞，难以形容了。噢对了，还有免费的水果和甜点。南瓜粥不错，西瓜和哈密瓜也很甜。再去拿的时候已经没了，估计过了一点就不提供了吧。很不错的一家店，下次再去吃别的菜，虽然酱油虾没做好，但还是五星推荐一下吧。
positive,19475,train,5.0,223,price:positive; food:neutral,2,1,0,False,工作日118午市套餐第二份半价，就和小伙伴凑了一行8人来吃咯。午市和平时150的区别就是，少了两道，沙拉和汤只能二选一，饮料和甜品二选一。不过对女的来说也足够了，本来胃口也不大的。主食选了招牌肝酱味（也就是多了点鹅肝酱 说实话没吃出来），七分熟 无功无过吧，相对还是配菜的南瓜比较好吃。反正整体来说价格不贵，还不错啦。可是同时很怀念刚来上海的西堤牛排，那会98一份，但是赶脚品质真的好很多，那会有个红酒酱搭配羊膝 好吃的不得了，现在红酒酱都没了。
positive,13222,test,5.0,221,service:positive; price:positive; food:positive,5,0,0,False,和家人经常来的一家餐厅，菜和服务一如既往的好，价格很亲民。主要是他们家的优惠活动特别的多。周一刷工商信用卡可以打7.8折。更让我们感动的是老年人周二可以打6.6折，所以周二都会带上爷爷奶奶。感觉特别的划得来很超值。他们门口的熟食便民外卖有老年卡可以给打8折，味道真心不错。每次都是让老人家去买。但由个小建议可不可以年轻人拿卡就可以8折。不让天气冷了。不想让老人家往外跑了。周三的会员日整的非常好。打7折。我必需在优惠的日子去。省钱一族。\\n
positive,1849,train,5.0,237,location:positive; service:positive; price:positive; environment:positive; food:neutral,4,3,0,False,"三弄堂位于信华城市花园二期，满庭春对面，停车算是方便。去过几次，第一次去吃饭的时候每个人还送了个搪瓷杯。他家的风格特别适合上年纪的老人家怀旧。进门之后的墙边和厨窗里摆放着老旧的香烟纸、粮票、旧式收音机、老式的冰水桶等等50,60年代的旧物。拐几个弯才到餐厅，进门的书架上摆放着书籍，不过吃饭的地方估计也很难会有人想看书的。木制的桌椅，服务员穿得像当年的红卫兵，让人想起那个年代。他家的菜味印象比较深的是鸡爪，其他的没留下什么印象。烤鱼一般。消费不贵，有团购活动还是蛮便宜的。"
negative,22440,train,1.0,282,service:negative; environment:negative,0,0,3,False,总的来说差的要死！之前人气很火的菜例如香辣鸭头，酸菜鱼都没有了。一楼二楼来吃的人很多，可是服务员只有一两个！锅都没上就上甜点，吃免费供应的菜都吃饱了！地上的油和碎玻璃片也不清理，导致有人摔倒。这样的服务态度还有人要去么？简直比路边摊还要不如。点的玉米汁想来解辣，菜都吃完了还没上，还说榨错了？？？一个小时够榨错几个果汁？？可以看出每个顾客都对他们服务态度很不满意。既然能开出一个饭店，还请不出多一点的服务员？真的是以后都不会去了希望你们看到这个评语能够了解，不要去了才后悔（真的想一颗星都不打，可是看起来他们对自己很满意嘛，还非要顾客给他们评上一颗星，也是可笑的）
negative,27856,train,3.0,275,service:negative; environment:negative,0,0,3,False,来了，来了，又来了，哥们从外地来，请他吃饭，想了半天才想到，因排队说明好吃就又来了，我上次吃过，感觉还好吧，这次排队3小时，我哥们实在受不了了，准备不吃了，前面有等着急的走了我们就到开战了，可能是太饿了，产品哥们还是满意，这也是很好的营销呀，饿到实在受不了，吃啥都好呀，我自己是不会在受这样的罪了，装修不喜欢，我也不喜欢酒吧式的装修，服务就别提了，可能太忙，服务员都麻木了，嘈杂，吃完不爽了，上次就没有发票，这次还没有，这是要干啥，而且是吃多少没有发票就送一个饮料，可乐，雪碧，酸梅汤选一个，说不管吃多少钱都是这，胖子好牛逼呀，你生意好就可以这样吗？
negative,18400,train,1.0,234,service:neutral; price:negative; food:negative,0,1,3,False,实在不怎麽样。烤鸭酒水不再低用券范围内。简单吃个饭三百多只能用一个83抵100的。就省了17元。要选388的6人餐还被告知需要提前一天约。炸的鸭架硬的不行 ，白废了18元加工费。下次吃烤鸭绝对不来了。感觉被坑的。鸭子很少。4个人美人没吃几个就没了。哎。点的拔丝山药也很差劲。表皮是硬的。咬很费用。做的清炒小白菜也是一般饭店的感觉。服务更不用提了。给你点着菜他就招呼别人去了。点一个菜服务员来回服务五六趟。都上菜了我们桌上还没有餐具……还得要餐具。哎……下次绝对不来了。
negative,8702,dev,1.0,240,service:negative; price:negative; environment:negative; food:neutral,0,2,3,False,典型的名不符实啊，环境就不说了，人太多，接连翻台，就一个字“吵”！点了四个海鲜，海螺不新鲜，可能跟污染有关吧！八爪食材不错整得哪个咸，辣炒麻蛒基本无味，饭店最出名的蒸饺食材还不错的，刚一吃哪一个淡，吃到最后才觉得有点味道，可能是人太多了，大厨对用盐已经麻木了，最奇葩的是不拿号根本不让进，收银员直接说没拿号怎么进来的，两顾因没拿号跟收银员吵起来了！真不明白，这菜品和味道以及服务怎么就上了大众点评的口味排名靠前了，性价比就不说了，坑D啊！关键是菜品实在是差啊！景区的钱实在好赚啊！
negative,2828,train,1.0,200,price:negative; food:negative,0,1,3,False,东西超贵，很普通的七个菜加一个例牌汤买单357元。就拿小炒肉来说吧，里面只有几片肉，其他的都是萝卜干和青辣椒了，唯一觉得好吃的只有鱼香茄子煲，其他六个菜真的不怎么滴，而且有些菜端来就凉了，特别是芋头扣肉与菜单上的图片真的是天壤之别。再看看收银小票，我点的菜都给我上的大份，我有点的大份吗??这就是商家要求顾客要事先说明用代金劵的目的吧！！！无心优惠搞什么代金劵呢?我们不会再光顾，也会告知身边的朋友。
